COD_CLI;STATUS;IFIN1;IFIN2;IFIN3;IFIN4;IFIN5;IFIN6;IFIN7;IFIN8;IFIN9;IFIN10;FATLIQ;REST_TIPO_1;REST_TIPO_2;REST_TIPO_3;REST_TIPO_4;REST_TIPO_5;UF;IDADE;RAMO;NUM_SOCIOS
1989;MAU;11.50;796.74;88.80;0.00;3.20;13.63;0.95;-5.60;-36.66;-0.84;1259.14;59;1;1;0;0;RJ;21;6;2
1990;MAU;1.80;547.42;103.60;1.45;3.40;11.68;0.10;576.80;-28.75;-3.36;436.46;0;0;0;1;0;RJ;20;3;3
1991;MAU;16.20;552.84;5.92;0.23;8.80;13.08;3.65;-2437.40;-7.50;-0.84;734.76;10;1;2;0;0;RJ;20;3;2
1992;MAU;28.80;753.38;131.72;0.00;10.60;12.17;2.00;-222.60;-40.00;-1.68;1102.14;1;0;0;0;0;RJ;20;3;2
1993;BOM;64.90;3208.64;50.32;0.00;7.30;11.78;-3.20;613.20;-34.16;-4.20;985.96;3;0;3;0;0;MG;27;7;2
1994;MAU;2.70;536.58;131.72;0.00;0.40;16.11;0.40;21.00;-36.25;-18.48;1105.28;2;0;6;0;0;MG;27;1;2
1995;BOM;7.70;276.42;16.28;0.00;6.90;14.39;5.05;-43.40;-7.91;-0.84;1287.40;7;0;9;0;12;MG;27;4;2
1996;MAU;13.40;1132.78;455.84;2.23;2.00;11.66;-41.55;796.60;-1777.08;-4.62;1080.16;2;0;1;0;0;MG;27;2;4
1997;MAU;8.70;514.90;115.44;2.14;11.00;12.88;3.10;163.80;-40.00;-4.62;640.56;0;0;1;0;0;RJ;20;7;3
1998;MAU;9.80;487.80;8.88;0.00;0.90;15.52;6.10;-2074.80;-54.58;-11.76;797.56;0;0;0;0;7;RJ;19;6;4
1999;MAU;4.00;444.44;51.80;0.00;3.80;15.95;1.20;-107.80;-22.08;-0.84;1114.70;2;1;1;1;0;SP;19;1;3
2000;BOM;18.10;135.50;14.80;0.39;4.80;15.35;-1.25;443.80;-5.00;-5.46;894.90;23;3;37;0;0;MG;21;6;3
2001;BOM;2.20;43.36;19.24;0.00;4.20;12.19;0.40;-119.00;-7.08;-18.48;2110.08;1;0;1;0;0;MG;20;7;3
2002;BOM;7.00;417.34;56.24;0.00;1.20;14.31;0.00;319.20;-27.50;-90.72;1849.46;3;0;2;0;0;MG;46;1;3
2003;MAU;18.50;861.78;128.76;;;17.30;7.55;361.20;-6.25;-3.78;2420.94;3;1;1;0;11;RJ;19;4;3
2004;BOM;5.10;542.00;41.44;0.14;3.50;12.50;-0.05;287.00;-37.08;-2.94;1045.62;3;0;0;0;0;MG;20;4;2
2005;MAU;8.40;525.74;150.96;0.00;2.40;12.62;1.55;340.20;-52.91;-1.68;3585.88;10;0;2;0;0;MG;20;3;3
2006;MAU;6.20;439.02;102.12;1.45;5.00;12.75;0.15;;-28.75;-0.42;847.80;6;0;8;0;0;MG;19;4;3
2007;BOM;;;4.44;0.00;7.70;12.82;;282.80;84.16;0.42;6631.68;0;0;1;0;0;MG;19;1;4
2008;MAU;2.80;666.66;821.40;0.00;1.80;11.43;0.55;756.00;-468.33;-2.10;1246.58;0;0;2;0;61;MG;19;3;2
2009;BOM;2.30;498.64;4.44;0.00;0.40;12.36;0.25;-1982.40;-215.83;0.42;6791.82;1;0;4;0;0;MG;26;2;4
2010;MAU;52.00;1252.02;253.08;0.00;3.20;12.45;-4.45;861.00;-425.41;-5.88;436.46;3;0;7;0;0;MG;34;5;3
2011;BOM;0.70;449.86;0.00;0.00;2.80;11.85;0.30;;0.41;-0.84;423.90;0;0;0;0;0;MG;26;3;3
2012;BOM;13.20;883.46;109.52;1.40;6.90;12.39;0.55;639.80;-48.33;18.06;461.58;0;0;0;0;0;MG;54;1;4
2013;MAU;2.80;542.00;113.96;0.00;9.00;12.07;0.00;170.80;-40.83;-5.04;690.80;29;0;0;0;0;MG;36;4;4
2014;BOM;2.40;341.46;5.92;0.00;21.40;12.07;0.75;207.20;-7.50;-2.94;5385.10;0;0;0;0;0;MG;36;1;2
2015;BOM;26.80;525.74;53.28;0.94;;14.52;1.45;176.40;-40.41;-5.04;706.50;0;0;0;0;0;MG;53;7;2
2016;BOM;13.80;417.34;1.48;0.02;1.20;14.45;3.45;-18790.80;30.41;7.14;1836.90;0;0;1;0;0;MG;35;7;4
2017;BOM;;;7.40;0.32;7.60;13.78;-4.95;-2.80;0.00;-3.78;1843.18;0;0;0;0;0;MG;45;4;4
2018;BOM;2.90;525.74;0.00;0.00;5.00;12.47;0.55;33.60;0.41;-11.76;1168.08;1;0;5;6;0;MG;48;8;2
2019;MAU;56.90;953.92;60.68;1.13;2.20;15.03;0.15;350.00;-58.33;-5.46;2336.16;0;0;0;0;0;MG;25;6;2
2020;BOM;12.40;341.46;76.96;0.00;2.30;15.37;2.55;151.20;-28.75;3.78;1783.52;0;0;0;0;0;MG;35;6;2
2021;MAU;45.50;2037.92;216.08;0.00;1.10;14.18;-1.30;540.40;-83.33;-2.94;2169.74;1;0;0;0;0;MG;24;4;3
2022;MAU;9.00;249.32;29.60;0.23;0.80;13.87;-1.35;754.60;-15.41;-1.68;967.12;0;0;0;0;4;MG;33;2;3
2023;BOM;6.00;352.30;38.48;0.00;2.30;15.33;0.40;-124.60;-16.66;-12.18;1274.84;0;0;0;0;0;MG;33;5;2
2024;MAU;3.30;319.78;0.00;;0.40;23.15;8.55;-64190.00;13.33;1.26;1664.20;10;1;0;0;13;MG;21;2;2
2025;MAU;15.70;1143.62;222.00;1.84;0.70;12.09;-2.60;813.40;22.08;-6.72;920.02;0;0;0;1;0;MG;33;2;3
2026;MAU;0.30;0.00;0.00;;;97.86;384.30;-313126.80;141.66;-1.26;4917.24;0;0;0;0;13;MG;33;5;3
2027;BOM;3.20;357.72;0.00;0.00;2.80;13.39;0.75;-957.60;5.83;-4.20;1290.54;0;0;2;0;0;MG;32;3;2
2028;MAU;;;233.84;0.00;;13.58;;891.80;24.16;-4.62;1717.58;0;0;0;0;0;MG;24;8;3
2029;MAU;13.00;260.16;37.00;0.35;4.00;13.77;0.55;-394.80;-8.75;-84.42;816.40;0;0;0;0;0;MG;32;3;2
2030;BOM;2.90;514.90;39.96;0.39;3.30;12.71;-0.10;337.40;-28.75;-0.42;621.72;0;0;0;0;0;MG;24;5;2
2031;MAU;12.80;390.24;20.72;1.15;4.60;12.56;0.05;317.80;-12.50;-2.94;6371.06;0;0;0;0;0;MG;31;4;4
2032;BOM;2.10;276.42;0.00;0.00;1.30;15.50;2.15;-663.60;11.25;0.42;860.36;0;0;0;0;0;MG;31;7;4
2033;BOM;1.20;504.06;4.44;0.00;0.60;12.82;1.05;-44.80;33.33;-3.36;1805.50;0;0;0;0;0;MG;51;6;2
2034;BOM;6.30;319.78;0.00;0.00;5.20;13.52;1.25;-1549.80;-0.41;-2.94;860.36;0;0;0;0;0;MG;30;3;2
2035;MAU;42.20;563.68;79.92;0.67;4.30;14.50;0.25;204.40;-42.08;-7.56;5011.44;2;0;0;4;0;MG;30;5;3
2036;BOM;13.20;195.12;0.00;0.00;4.10;13.79;1.10;;-0.41;-2.52;781.86;6;0;6;0;0;MG;30;4;4
2037;BOM;6.60;325.20;22.20;0.00;0.80;12.69;0.70;670.60;0.41;-18.90;4091.42;0;0;0;0;0;MG;21;4;4
2038;MAU;7.20;726.28;232.36;0.48;1.80;12.49;0.10;641.20;-102.50;-3.78;4147.94;4;0;0;0;0;MG;42;5;4
2039;MAU;10.90;596.20;39.96;0.00;3.10;12.87;1.30;403.20;-8.75;-0.84;4308.08;0;0;0;0;0;MG;70;6;3
2040;MAU;20.60;1219.50;87.32;1.52;3.00;13.51;2.20;554.40;-77.08;-1.68;4531.02;0;0;0;0;0;MG;48;4;4
2041;BOM;5.00;617.88;0.00;0.00;1.40;13.64;0.55;634.20;-6.25;-26.88;5554.66;0;0;1;0;0;MG;23;3;2
2042;BOM;8.00;86.72;26.64;0.00;7.70;13.57;7.35;-344.40;-8.75;-10.08;2342.44;0;0;2;0;12;MG;27;5;2
2043;BOM;6.90;682.92;112.48;2.02;5.30;12.29;-0.35;602.00;-55.41;-0.84;1340.78;0;0;1;0;0;MG;29;6;4
2044;MAU;14.40;531.16;68.08;0.00;0.50;14.19;-0.30;644.00;-39.16;-2.10;2898.22;6;0;0;0;0;MG;23;5;4
2045;MAU;5.90;639.56;142.08;0.00;6.80;11.89;-0.35;555.80;-47.91;-1.26;1500.92;0;0;0;0;0;MG;22;4;2
2046;MAU;66.70;3625.98;325.60;0.00;0.10;11.52;-1.20;695.80;32.08;-1.68;1535.46;23;0;13;0;0;SP;29;4;4
2047;BOM;60.20;363.14;0.00;0.00;2.80;14.67;2.50;714.00;-2.08;-4.20;3746.02;0;0;0;0;0;MG;22;3;2
2048;BOM;1.40;303.52;5.92;0.00;5.60;12.81;0.60;-1743.00;1.25;-0.84;2866.82;0;0;0;0;0;MG;81;3;2
2049;BOM;85.00;1794.02;0.00;0.00;0.40;21.69;-1.15;1869.00;-23.33;-4.62;985.96;0;0;0;0;11;MG;24;3;2
2050;BOM;6.50;596.20;100.64;2.12;2.00;13.54;-0.05;415.80;-55.83;-8.82;1752.12;0;0;1;0;0;MG;60;1;2
2051;MAU;112.80;5306.18;91.76;0.00;1.20;12.75;-7.20;733.60;7.50;-9.66;3865.34;1;0;1;0;16;MG;52;7;3
2052;MAU;10.60;216.80;4.44;0.00;3.20;13.73;-1.00;404.60;-10.00;0.00;2185.44;273;0;32;0;0;MG;22;4;4
2053;MAU;0.00;471.54;0.00;;;11.92;0.05;123.20;2.08;-33.18;364.24;0;0;0;0;16;MG;27;3;3
2054;BOM;6.40;796.74;122.84;0.00;1.80;13.05;3.35;305.20;-120.83;0.42;618.58;0;0;0;0;0;MG;27;3;3
2055;BOM;19.30;542.00;35.52;0.00;2.40;12.86;-1.60;551.60;-11.25;-17.22;2304.76;4;0;1;0;0;MG;44;7;3
2056;BOM;6.60;162.60;5.92;0.00;9.40;13.13;3.45;-877.80;-5.83;-0.84;982.82;0;0;0;0;15;MG;22;3;2
2057;MAU;21.10;325.20;76.96;1.22;1.90;13.83;0.05;110.60;-32.08;-9.24;960.84;0;0;0;0;0;MG;27;1;4
2058;MAU;57.70;2336.02;288.60;0.00;;12.46;-3.25;550.20;-140.00;-8.82;687.66;2;0;0;0;0;MG;27;5;2
2059;BOM;7.40;151.76;0.00;0.00;2.10;15.42;1.10;-539.00;69.58;-2.94;932.58;0;0;0;0;0;MG;27;4;4
2060;BOM;12.10;1040.64;13.32;0.00;8.30;11.69;9.20;-2928.80;1.66;-4.20;357.96;0;0;0;0;12;MG;21;2;4
2061;MAU;1.40;439.02;32.56;1.20;2.80;14.04;1.25;-98.00;-7.08;0.84;1064.46;4;0;1;0;0;MG;21;4;4
2062;BOM;31.80;249.32;82.88;1.79;8.70;13.57;1.35;148.40;-33.33;-0.84;731.62;0;0;0;1;0;MG;21;1;2
2063;MAU;;;121.36;0.78;2.60;14.28;;463.40;-52.50;-0.84;970.26;0;0;0;0;0;MG;21;5;4
2064;MAU;7.90;157.18;29.60;0.90;1.90;16.21;3.05;;-12.50;-3.78;1739.56;0;0;0;0;0;MG;21;5;4
2065;BOM;9.50;552.84;51.80;0.35;1.80;12.60;0.35;505.40;-27.50;-4.20;891.76;1;0;1;0;0;MG;21;6;2
2066;MAU;74.10;1430.88;71.04;0.00;2.60;13.61;-9.65;504.00;-112.08;-6.72;800.70;2;0;0;0;0;MG;21;5;2
2067;BOM;4.10;455.28;2.96;0.09;6.40;12.25;0.65;-60.20;-3.75;-3.36;847.80;0;0;0;0;0;MG;55;5;2
2068;MAU;47.60;1289.96;75.48;0.60;5.90;12.76;-2.30;497.00;-34.16;-2.10;844.66;185;0;5;0;0;MG;21;5;4
2069;BOM;16.10;1008.12;149.48;0.00;;12.30;3.20;553.00;-234.58;-0.84;3808.82;0;0;0;0;0;MG;54;5;4
2070;BOM;2.50;178.86;0.00;0.00;2.50;13.20;-0.05;438.20;25.41;-8.40;671.96;0;0;1;0;0;MG;74;4;3
2071;BOM;3.80;352.30;4.44;0.00;1.50;13.48;0.15;77.00;-5.00;-0.84;2420.94;1;0;0;0;0;MG;37;6;2
2072;BOM;5.60;411.92;51.80;1.06;1.30;14.09;0.60;-613.20;-40.00;-0.42;3246.76;0;0;1;0;0;SP;21;2;3
2073;MAU;3.80;710.02;259.00;0.00;1.80;11.28;0.00;525.00;-85.41;-5.04;320.28;0;0;2;0;61;MG;20;4;4
2074;MAU;11.60;119.24;0.00;0.00;1.80;14.67;10.35;-2690.80;-2512.08;-1.68;2169.74;2;0;0;0;0;MG;19;1;4
2075;MAU;2.00;607.04;0.00;;2.20;14.25;8.20;-2238.60;-112.08;-2.94;1026.78;0;0;0;0;13;RJ;19;8;2
2076;MAU;4.90;704.60;42.92;0.00;14.40;11.36;0.00;716.80;0.00;-3.78;348.54;2;0;0;0;61;RJ;19;6;4
2077;BOM;0.30;113.82;0.00;0.00;4.20;11.83;0.60;-2284.80;59.16;0.00;204.10;0;0;0;0;0;MG;19;6;2
2078;BOM;6.40;363.14;0.00;0.00;0.50;22.39;-0.55;-308.00;-635.83;0.00;1764.68;0;0;0;0;0;MG;37;5;2
2079;MAU;8.70;476.96;207.20;0.09;2.70;12.86;0.15;544.60;-73.75;-0.84;6455.84;1;0;0;0;0;MG;48;3;2
2080;BOM;4.90;764.22;0.00;0.00;4.60;11.40;0.05;673.40;11.66;-6.30;549.50;0;0;0;0;0;MG;18;6;4
2081;MAU;13.50;520.32;26.64;0.00;3.20;13.63;0.10;352.80;-28.33;-0.84;4797.92;1;0;1;0;0;MG;44;5;2
2082;MAU;564.00;23571.58;28.12;0.00;6.00;11.56;-7.35;659.40;-7.08;-0.84;1538.60;0;0;0;0;0;MG;19;8;4
2083;MAU;7.70;834.68;130.24;0.00;3.40;11.51;0.40;715.40;-57.91;-11.34;1406.72;2;0;7;0;0;MG;19;4;2
2084;MAU;8.90;21.68;19.24;0.00;0.40;43.43;5.90;-9.80;-5.41;-1.68;750.46;1;0;0;0;0;MG;19;5;2
2085;MAU;52.50;1680.20;48.84;0.00;0.30;14.36;-3.75;781.20;111.66;-3.36;2766.34;4;0;9;0;0;RJ;18;6;2
2086;MAU;1.50;265.58;8.88;0.00;1.40;15.26;0.25;-2053.80;8.75;-0.84;1679.90;24;5;42;0;0;MG;18;2;4
2087;MAU;7.10;363.14;14.80;0.35;3.20;14.46;2.05;-9.80;-3.33;-3.36;788.14;4;0;28;0;5;RJ;17;3;3
2088;MAU;12.30;216.80;0.00;0.00;4.10;15.20;25.15;;2.50;-9.24;775.58;0;0;1;0;5;RJ;18;1;3
2089;BOM;425.50;3192.38;0.00;0.00;0.80;19.24;-8.50;1302.00;2.50;-0.84;2904.50;0;0;0;0;0;MG;19;4;4
2090;BOM;1.10;271.00;0.00;0.00;23.10;12.20;0.40;-4277.00;3.33;-14.70;420.76;0;0;0;0;0;MG;53;2;4
2091;MAU;16.60;422.76;51.80;1.15;15.40;12.47;-0.25;547.40;-24.16;-22.26;772.44;10;0;0;0;0;MG;40;3;3
2092;MAU;;;0.00;0.00;0.80;14.78;-7.85;590.80;57.08;-0.84;2662.72;0;0;0;0;0;MG;18;2;2
2093;BOM;0.90;536.58;0.00;0.00;1.10;11.91;-0.30;275.80;-22.91;-0.84;2813.44;0;0;0;0;0;MG;19;1;2
2094;MAU;16.00;1219.50;81.40;0.00;0.00;24.68;-0.65;833.00;7.08;0.00;678.24;6;0;0;0;0;MG;20;3;4
2095;MAU;14.20;227.64;0.00;0.00;4.50;15.46;6.45;-627.20;10.00;-5.04;1456.96;3;0;0;0;12;MG;19;6;4
2096;BOM;3.50;184.28;0.00;0.00;0.90;12.82;1.15;232.40;178.75;-2.52;2279.64;1;0;0;0;0;MG;19;2;3
2097;BOM;0.90;108.40;0.00;0.00;1.40;14.83;0.35;-181081.60;77.91;-2.10;1042.48;0;0;0;0;0;MG;42;4;2
2098;BOM;2.20;433.60;22.20;0.02;6.80;12.18;1.00;-151.20;12.50;-0.84;1535.46;0;0;1;0;0;MG;48;4;2
2099;BOM;1.10;346.88;0.00;0.00;3.80;12.63;1.40;-9619.40;68.75;-2.94;803.84;0;0;1;0;0;MG;34;1;2
2100;MAU;29.90;1029.80;19.24;0.00;1.90;15.24;2.50;645.40;-280.41;-3.36;1871.44;3;3;0;0;0;MG;42;3;2
2101;MAU;24.40;482.38;100.64;0.00;2.60;13.88;4.90;36.40;-38.33;-2.10;1111.56;2;0;0;0;0;MG;18;2;2
2102;MAU;50.50;184.28;0.00;0.00;10.70;13.83;6.45;61.60;-2.08;-7.98;741.04;0;0;0;0;7;MG;18;2;4
2103;BOM;;;97.68;0.00;4.20;11.87;0.00;680.40;-268.33;-22.68;574.62;0;0;0;0;16;MG;17;6;2
2104;MAU;15.50;238.48;63.64;1.20;2.00;16.21;7.45;-210.00;-25.41;1.68;1588.84;5;0;2;0;12;MG;17;2;3
2105;MAU;104.90;1170.72;10.36;0.00;;13.98;8.20;131.60;4.58;-0.84;4392.86;1;0;5;0;11;SP;27;4;2
2106;BOM;4.90;216.80;16.28;0.32;2.40;14.73;0.40;-603.40;-3.33;-1.26;1017.36;0;0;1;0;0;MG;35;7;4
2107;MAU;21.20;1246.60;71.04;0.62;2.60;12.15;-1.60;613.20;-95.00;-10.08;1639.08;7;1;5;1;0;MG;31;8;2
2108;MAU;14.10;693.76;165.76;0.00;1.20;12.78;0.20;520.80;-53.33;-7.98;866.64;0;0;1;0;0;MG;31;4;2
2109;BOM;12.40;737.12;29.60;0.00;4.40;12.53;3.00;;-7.91;-2.10;775.58;0;0;1;0;0;MG;29;7;2
2110;BOM;5.20;346.88;5.92;0.00;2.60;13.54;1.90;-2149.00;12.91;-7.56;2775.76;0;0;0;0;0;MG;37;5;2
2111;BOM;21.80;238.48;0.00;0.00;9.70;13.65;2.35;-1778.00;0.41;-5.04;769.30;0;0;0;0;0;RJ;26;3;2
2112;BOM;1.40;363.14;0.00;0.00;;15.59;0.85;;2.91;-1.26;882.34;0;0;0;0;19;RJ;26;3;2
2113;MAU;28.90;775.06;100.64;0.00;2.70;14.48;-0.90;326.20;-56.25;-7.98;750.46;0;0;0;0;0;RJ;25;4;4
2114;MAU;8.70;336.04;19.24;0.51;6.30;12.91;1.80;315.00;-12.91;-9.24;747.32;2;0;0;3;0;RJ;37;8;2
2115;BOM;61.10;710.02;1.48;0.00;8.60;13.44;0.70;109.20;-5.83;-0.84;1186.92;1;0;0;0;7;RJ;24;6;3
2116;BOM;2.80;558.26;0.00;0.00;7.80;11.24;0.35;3189.20;1.25;-1.26;47.10;0;0;0;0;60;MG;38;1;2
2117;BOM;7.90;86.72;0.00;0.00;0.40;11.61;-0.60;;2.91;-2.52;712.78;1;0;1;0;25;RJ;23;7;4
2118;BOM;17.60;525.74;0.00;0.00;2.00;15.08;-2.50;1143.80;-16.66;-31.50;1519.76;0;0;1;0;0;SP;24;7;2
2119;BOM;2.00;276.42;11.84;0.02;6.70;12.54;2.00;-2094.40;14.16;3.36;5272.06;0;0;1;0;0;RJ;34;7;2
2120;MAU;;;94.72;0.00;3.70;11.76;-42.00;704.20;-48.75;-2.94;2232.54;0;0;1;0;0;RJ;38;5;2
2121;MAU;33.00;785.90;23.68;0.23;1.60;12.47;-0.65;803.60;-471.66;-0.84;1874.58;58;0;0;0;0;SP;22;4;3
2122;MAU;2.70;444.44;39.96;0.00;3.20;15.18;-0.35;159.60;-17.50;20.16;715.92;0;0;1;0;0;RJ;30;2;3
2123;MAU;;;45.88;1.17;2.20;14.99;-4.75;597.80;-54.58;-0.42;1475.80;0;0;0;0;0;RJ;56;1;4
2124;MAU;0.60;509.48;0.00;0.00;2.90;11.84;0.00;-946.40;258.33;-10.08;376.80;60;0;0;0;0;RJ;32;4;2
2125;BOM;7.00;319.78;38.48;0.00;0.60;18.92;3.80;-1208.20;-16.25;0.84;7338.18;8;0;2;0;0;RJ;31;5;2
2126;MAU;4.80;384.82;0.00;0.00;4.20;13.37;1.80;266.00;99.16;-2.10;3278.16;0;0;0;0;0;RJ;30;4;2
2127;BOM;5.40;325.20;31.08;0.00;3.40;13.29;0.60;162.40;-20.83;-4.20;3284.44;0;0;1;0;0;SP;16;6;4
2128;BOM;4.60;211.38;4.44;0.07;1.10;16.17;1.30;;2.50;-17.64;766.16;0;0;0;1;0;RJ;31;6;4
2129;BOM;1.30;493.22;10.36;0.00;1.60;11.92;1.00;-2108.40;79.16;-0.84;1293.68;1;0;0;0;16;RJ;30;6;2
2130;MAU;23.90;639.56;257.52;0.00;2.60;13.26;-0.45;546.00;-189.16;-2.52;2898.22;310;0;22;0;0;RJ;130;8;4
2131;BOM;2.40;411.92;7.40;0.00;6.80;12.55;0.00;-92.40;-2.08;-0.42;5328.58;4;0;3;0;0;RJ;30;5;4
2132;MAU;;;106.56;2.09;2.70;14.80;-2.45;974.40;-51.66;-1.26;1325.08;1;0;0;0;0;RJ;30;7;2
2133;BOM;13.60;840.10;48.84;0.00;6.40;12.30;1.30;523.60;-9.16;-0.84;1284.26;0;0;0;0;0;RJ;22;7;3
2134;MAU;4.60;211.38;0.00;0.00;13.90;14.47;2.40;;3.75;-0.84;882.34;1;0;1;0;0;RJ;29;5;2
2135;BOM;13.60;856.36;38.48;1.63;9.20;11.97;-2.00;578.20;48.75;0.42;2433.50;1;0;8;0;0;RJ;30;8;4
2136;MAU;18.00;1094.84;62.16;0.00;0.90;13.51;2.05;561.40;-101.25;-7.98;7727.54;0;0;0;0;0;RJ;53;4;3
2137;BOM;45.70;1224.92;106.56;0.00;;13.06;-1.75;526.40;-62.08;1.26;3755.44;0;0;0;0;5;RJ;28;5;3
2138;MAU;1.40;498.64;23.68;0.53;4.70;12.25;0.60;-1212.40;-10.00;-1.26;430.18;0;0;0;0;0;RJ;29;2;2
2139;BOM;7.80;715.44;7.40;0.00;2.20;12.86;-1.70;494.20;-16.66;-0.84;3297.00;0;0;3;0;0;RJ;29;5;2
2140;BOM;0.30;216.80;0.00;0.00;6.00;13.00;;;2.91;-0.42;1849.46;0;0;2;0;0;RJ;28;7;4
2141;BOM;6.30;395.66;1.48;0.00;4.40;14.43;3.70;;5.00;10.50;1246.58;7;0;8;0;0;RJ;21;5;3
2142;BOM;1.80;233.06;0.00;0.00;2.60;13.90;0.70;-14526.40;28.33;4.62;6427.58;1;0;0;0;0;RJ;51;5;4
2143;BOM;2.20;108.40;0.00;0.00;4.00;18.77;-0.25;-1751.40;0.00;0.84;1472.66;0;0;0;0;0;RJ;21;5;2
2144;MAU;9.00;493.22;81.40;2.19;12.90;12.34;0.35;222.60;-33.33;4.62;1620.24;0;0;0;0;0;RJ;98;5;4
2145;BOM;4.40;308.94;0.00;0.00;3.10;13.00;0.60;;53.75;-2.10;3717.76;2;0;0;0;0;RJ;69;8;4
2146;MAU;10.80;428.18;10.36;0.00;1.00;15.23;3.60;-259.00;-75.41;-6.30;1215.18;0;0;0;0;0;RJ;21;1;2
2147;MAU;15.40;298.10;65.12;0.60;3.00;14.83;2.85;-371.00;-28.75;-0.84;1303.10;4;0;0;0;0;RJ;20;4;3
2148;MAU;17.90;303.52;32.56;1.52;14.60;12.66;2.80;-750.40;-23.33;3.78;637.42;0;0;0;0;7;MG;20;7;2
2149;BOM;1.10;547.42;10.36;0.23;1.20;11.88;-0.20;687.40;-2.50;-3.36;411.34;0;0;0;0;0;MG;18;5;3
2150;MAU;24.10;292.68;0.00;0.00;1.60;15.33;9.25;-2205.00;-9.58;-0.84;2976.72;10;0;1;0;0;RJ;37;4;4
2151;BOM;10.00;807.58;17.76;0.00;1.10;13.74;3.60;539.00;-417.08;-1.26;4562.42;0;0;1;0;0;RJ;19;4;4
2152;MAU;13.50;720.86;161.32;0.74;5.20;11.72;-0.85;652.40;-125.41;-5.88;1099.00;4;0;2;0;0;MG;18;7;3
2153;MAU;16.70;623.30;78.44;0.23;1.20;14.17;4.50;-266.00;-56.66;-14.70;2716.10;4;0;11;0;0;SP;16;5;2
2154;MAU;10.20;932.24;26.64;0.00;0.50;14.15;3.05;-294.00;16.66;-2.52;863.50;0;0;1;0;0;SP;16;3;4
2155;BOM;3.00;514.90;0.00;0.00;1.60;11.98;2.05;-7438.20;-198.75;0.00;1180.64;0;0;0;0;0;SP;15;5;3
2156;MAU;11.60;644.98;211.64;0.00;2.40;12.92;0.70;-42.00;-166.66;-0.84;7357.02;108;0;358;0;0;RJ;51;3;4
2157;BOM;476.30;4986.40;37.00;0.00;2.90;14.23;;282.80;-25.41;-0.84;1127.26;0;0;0;0;0;RJ;41;3;2
2158;BOM;14.80;585.36;34.04;0.60;4.00;14.65;-0.75;301.00;-54.16;-5.88;4910.96;1;0;2;0;0;RJ;53;3;4
2159;MAU;12.90;59.62;1.48;0.00;5.10;14.79;5.55;;4.16;-4.20;841.52;1;0;3;0;0;RJ;42;2;4
2160;BOM;7.90;455.28;44.40;0.00;6.00;12.89;0.60;218.40;50.00;-2.10;3491.68;0;0;2;0;0;RJ;61;4;3
2161;BOM;5.60;390.24;20.72;0.00;6.30;12.06;0.35;-1066.80;13.33;62.58;6163.82;0;0;1;0;0;RJ;103;4;2
2162;BOM;5.50;233.06;28.12;0.00;10.40;13.14;1.25;-933.80;-15.00;3.36;1130.40;0;0;1;0;0;RJ;60;4;3
2163;BOM;12.40;346.88;11.84;0.00;2.60;16.81;2.40;-56.00;2.08;-1.68;1077.02;1;0;0;0;0;RJ;56;2;4
2164;BOM;4.70;444.44;0.00;0.00;3.70;13.09;1.15;;26.66;2.52;2625.04;0;0;0;0;0;SP;87;4;2
2165;BOM;2.20;417.34;0.00;0.00;107.80;12.28;0.30;-431.20;-6.66;-5.46;339.12;2;0;0;0;0;RJ;76;4;3
2166;MAU;22.40;623.30;0.00;0.00;1.80;16.44;1.25;;-1.66;-4.62;1152.38;167;0;23;0;0;RJ;42;2;3
2167;BOM;3.30;487.80;0.00;0.00;3.50;12.07;-0.10;186.20;1.66;-1.68;2452.34;0;0;0;0;0;SP;51;5;4
2168;BOM;9.50;162.60;0.00;0.00;2.20;16.46;4.75;-2283.40;7.08;-2.52;803.84;0;0;0;0;12;RJ;62;3;4
2169;MAU;1.80;292.68;8.88;0.00;2.60;14.00;0.55;;0.41;1.68;3874.76;0;0;1;0;1;RJ;49;7;4
2170;BOM;1.10;336.04;0.00;0.00;3.60;12.82;0.95;-19082.00;14.58;-1.68;621.72;0;0;1;0;0;RJ;50;2;2
2171;BOM;3.30;303.52;0.00;0.00;1.40;13.88;2.00;-5149.20;381.25;2.52;797.56;0;0;0;0;0;RJ;58;4;4
2172;MAU;;;202.76;0.00;9.80;13.03;-10.15;641.20;-216.66;-2.52;606.02;0;0;1;0;0;RJ;18;5;3
2173;BOM;14.60;607.04;100.64;2.14;1.30;13.59;-0.65;949.20;-50.00;-0.84;734.76;0;0;0;0;0;RJ;72;4;4
2174;BOM;10.40;346.88;93.24;0.00;1.30;13.14;1.30;184.80;-17.50;1.68;6113.58;1;0;0;0;0;MG;86;1;3
2175;MAU;2.60;569.10;23.68;0.00;2.40;12.24;1.30;-145.60;-12.50;-9.66;6110.44;0;0;0;0;0;RJ;54;2;2
2176;BOM;8.00;200.54;5.92;0.00;0.50;15.55;0.60;;89.16;-0.84;4951.78;0;0;0;0;0;SP;61;1;4
2177;BOM;3.90;173.44;0.00;0.00;5.70;14.57;1.30;-2507.40;0.00;-8.82;5338.00;1;0;1;0;0;RJ;25;1;3
2178;BOM;6.80;661.24;78.44;0.69;0.80;12.66;0.30;414.40;85.41;-1.68;653.12;0;0;1;0;0;RJ;50;4;3
2179;MAU;13.90;894.30;130.24;0.44;3.60;12.65;-1.05;700.00;-185.00;-0.42;527.52;31;0;174;0;0;RJ;54;5;3
